Title,Authors,Description,Category,Publisher,Price Starting With ($),Publish Date (Month),Publish Date (Year)
Answers to Distraction,"By Hallowell, Edward M. and Ratey, John J.","In Driven to Distraction, Drs.  Hallowell and Ratey revealed why millions of  adults and children are chronic underachievers, caught  up in persistent problems in school, at work, and  at home. The cause is not lack of  self-discipline, but, rather, an inborn neurological condition,  Attention Deficit Disorder, or  ADD.Answers To Distraction provides  practical solutions to the dilemmas of ADD. This  ""user's guide"" to ADD is presented in  question-and-answer format ideal for even the most  distractible reader. Each chapter covers a specific  aspect of ADD, such as ADD in women, ADD and  aggression, ADD and addiction, or ADD and work. The  authors provide advice for teachers on recognizing ADD  and helping students to cope, plus extraordinary  insights into the relationship difficulties caused  by ADD."," Medical , Mental Health",Bantam,5.29,March,1996
Everything You Need to Know About Medical Tests (Springhouse Everything You Need to Know Series),"By Andrews, Marcia","Gathers information about X-rays, CAT and MRI scans, ultrasound, heart and brain monitoring, endoscopy, biopsies, vision and hearing tests, blood tests, hormone tests, urine tests, and cultures"," Medical , Diagnosis",Springhouse Pub Co,10.99,May,1996
Altered Fates: Gene Therapy and the Retooling of Human Life,"By Lyon, Jeff and Gorner, Peter","As gripping as a novel, this tale of science, medicine, politics, and the jealousies, passions, and dedication of the human heart is certain to be recognized as one of the major nonfiction works of the decade.Seven years in the making, Altered Fates chronicles the saga of gene therapy, a medical revolution unparalleled in human history. Scientists armed with powerful new tools of genetic engineering are attacking such deadly disorders as lung cancer, heart disease, and AIDS by repairing and replacing defective genes. Further, they are racing to find the genes responsible for depression, schizophrenia, Alzheimer's disease, and other psychiatric and neurologic disorders, and they are consummating the marriage of genetics and reproductive technology, raising the possibility of human cloning and the production of ""designer"" babies.In the pages of this rich and detailed narrative, whose characters include the field's leading scientists as well as key patients and their families, the Pulitzer Prize-winning authors tell the story of the race to be the first to do gene therapy (a feat almost certain to garner a Nobel Prize and a place in medical history), uncovering the behind-the-scenes machinations and rivalries among the prima-donna researchers at some of the world's leading medical centers, including the National Institutes of Health. They also reveal the details of the initial human experiments in gene transfer, and the agonizing decisions faced by the families of the first children to be submitted to the therapy."," Medical , Genetics",W W Norton & Co Inc,10.99,March,1995
SAMe* (*S-Adenosylmethionine): The European Arthritis and Depression Breakthrough,"By Grazi, Sol, M.D. and Costa, Marie","Evaluates the supplement purported to ease the pain of osteoarthritis, rebuild cartilage, relieve depression, and improve liver function"," Medical , Pharmacology",Prima Lifestyles,5.29,January,1999
The Johns Hopkins Guide to Diabetes: For Today and Tomorrow (A Johns Hopkins Press Health Book),"By Rubin, Richard R., Saudek, Christopher D., and Shump, Cynthia S.","The Johns Hopkins Guide to Diabetes provides comprehensive and reliable answers to the many questions asked by people with the disease as well as their families and friends. What are the differences between Type I and Type II diabetes, for example? How are the different forms of this disease diagnosed and treated? Can diabetes that develops during pregnancy become a permanent condition? Can diabetes ever be managed with diet and exercise alone? Written by a team of Johns Hopkins specialists, this authoritative and easy-to-read guide addresses everything about diabetes which patients need to know for good control and good health. Highlights of  The Johns Hopkins Guide to Diabetes: • The importance of getting a straight answer about your diagnosis • The physical and psychological demands of diabetes • Managing the disease with blood glucose monitoring, diet, exercise, oral medications, and insulin therapy • Potential short-term and long-term complications, such as hypoglycemia, hardening of the arteries, and effects on eyes, kidneys, feet, and skin • Sexuality, pregnancy, and genetics • Recent developments for treating diabetes and the latest thinking about the importance of close control, based on the Diabetes Control and Complications Trial"," Medical , Endocrinology & Metabolism",Johns Hopkins University Press,5.29,June,1997
The Oxford Book of Legal Anecdotes (Oxford Paperbacks),"By Gilbert, Michael","The law has captured the public's attention and imagination for centuries, with its servants demonstrating time and again their fallibility.  A former lawyer and celebrated crime writer, Michael Gilbert has compiled a vastly entertaining collection of over three hundred fifty anecdotes about legal goings-on over the past two hundred fifty years, and about the individuals who have won distinction in the legal profession. Drawn from the reminiscences of lawyers, criminals, witnesses, and clerks, these irresistibly readable stories present the foibles as well as the authority of judges and other legal practitioners.     We find many celebrated legal battles retold here, including Edward Carson's cross-examination of Oscar Wilde and Clarence Darrow's defense of J.T. Scopes for teaching the theory of evolution.  We also discover countless less-familiar treasures such as the story of the letter received by Judge Benjamin Cardozo which said: ""I read in the newspapers that you are a liberal judge. Will you send me ten dollars as I'm really very hard up.""      Gilbert has arranged the entries alphabetically by the name of their principal subject.  He also includes headnotes which set the context and describe each subject's occupation (i.e. ""judge"", ""attorney general"") and a useful note which explains the differences between the British, European, and American legal systems."," Medical , Hematology",Oxford University Press,4.99,December,1989
The Peace of Mind Prescription: An Authoritative Guide to Finding the Most Effective Treatment for Anxiety and Depression,"By Nemeroff, Charles B., Charney, Dennis S., and Braun, Stephen","Anxiety and depression rank among the most serious medical disorders today. According to the World Health Organization, depression causes more disabilities than any other condition. Yet 80 percent of the 38 million Americans suffering from anxiety and depression receive inadequate treatment.Inspired by their work with patients and patient-advocacy groups, the psychiatrists Dennis S. Charney and Charles B. Nemeroff are on a mission to help everyone get the best treatment available. Stressing that any treatment must be tailored to the individual, The Peace of Mind Prescription details the full array of medically approved drugs and therapies, highlights the latest breakthroughs, and explores future possibilities. It advocates treating most adults with a combination of psychotherapy and medication and confirms the link between serious anxiety and depression and physical diseases. The authors examine the controversial question of treating children with medication, and they provide vital information specific to both sexes and all ages.The Peace of Mind Prescription arms readers with resources to assess claims made for both mainstream and alternative treatments. It features inspiring stories of patients who have overcome their anxiety and depression disorders. Fresh, authoritative, and empowering, this book is a prescription that can aid everyone in need."," Medical , Mental Health",Houghton Mifflin Harcourt,5.29,April,2004
The Essential Guide to Cosmetic Laser Surgery,"By Preston, Lydia and Alster, Tina S.","Answers all your questions about the miracles of cosmetic laser surgery. Includes everything you need to know about procedures, costs, safety, finding specialists, and making decisions."," Medical , Lasers in Medicine",Alliance Publishing Company,5.29,January,1997
The Healing Bath: Holistic Bubbles and Soothing Soaks,"By Riggs, Maribeth and Alma-Tadema, Lawrence (ILT)","Bathing in water enriched with concentrated bath teas and aromatic essential oils awakens and strengthens all aspects of being and well-being - emotional, intellectual, spiritual, and physical. Inhale the powerful healing aromas of pure plant extracts to soak away stress, inspire creativity, alter moods, restore vital energy, and maintain healthy, glowing skin.With simple instructions for making bath bags, bath teas, bath salts, bath gel, and bubble bath, using synergistic blends of essential oils and infusions of herbs, flowers, seaweed, and powdered minerals, herbalist Maribeth Riggs provides fragrant bath formulas for the prevention and relief of insomnia, jet lag, PMS, backache, depression, hangover, the common cold, and more.Consult the ""Aromatherapy Home-Shopping Network"" at the back of the book, listing top-quality herbs, essential oils, bath equipment, and skincare products to order by mail or telephone."," Medical , Holistic Medicine",Penguin Group USA,5.19,May,1996
Prostate Cancer: Making Survival Decisions,"By Meyer, Sylvan and Nash, Seymour C., M.D.","Written by a surviving prostate cancer patient and his urologist, Prostate Cancer: Making Survival Decisions provides not just a physician's overview of the disease, but the compassion, understanding, and frankness of a man who's lived through the experience. From the first symptoms to early diagnosis to life after treatment, journalist Sylvan Meyer details every facet of the disease from the patient's point of view. Along with a clear, complete guide to the latest treatments, techniques, and findings, Meyer outlines the tough decisions the patient will face; describes what it's like to go through all the tests, the treatment, and the recovery; and provides an understanding of how the patient himself can affect the outcome.A superb synthesis of medical knowledge and compassionate advice, Prostate Cancer: Making Survival Decisions will help you understand: The difference between prostate cancer and other diseases of the prostate; the different stages and grades of prostate cancer and how they should affect your decision when choosing a treatment; the risk of recurrence, side effects, and the mortality rates associated with each available treatment; and which doctors you can depend upon and which statistics you can believe."," Medical , Oncology , General",University of Chicago Press,4.99,November,1994
The Cornell Illustrated Medical Encyclopedia: THe Definitive Medical Home Reference Guide (Weill Cornell Health Series),"By Gotto, Antonio M. (EDT)","In this home health reference, which is designed as a first stop for a general audience, alphabetically arranged entries cover a wide variety of health-related subjects including medical terms and procedures, basic anatomy and physiology, and diseases and pathologies. The coverage is brief but thoughtfully prepared so that after a visit to the doctor, for example, a patient can decipher some of the terms that were tossed around but never fully explained. Most entries are a paragraph or several paragrahs ( acoustic nerve, aspirin, astigmatism ; the longest are about two pages ( breast cancer, circulatory system ). Page layout is clear and friendly, with important points highlighted in various ways, and approximately 1,200 color illustrations supporting the text. Entries are cross-referenced, and many include print references and contact information for relevant organizations. The appendix is devoted to emergency medicine and first aid. General editor Gotto is dean of the Weill Medical College of Cornell University, and he provides a brief introduction. The title page identifies this work as the inaugural volume of the Weill Cornell Health Series, but there is no further information about the series. Annotation c. Book News, Inc., Portland, OR (booknews.com)"," Medical , Reference",LifeLine Press,11.24,January,2002
Medicine for Mountaineering & Other Wilderness Activities,"By Wilkerson, James A. (EDT)","Provides information for handling major and minor medical emergencies in the wilderness, discussing diagnosis, traumatic and nontraumatic injuries, medications, preventive measures, and medical kits"," Medical , Emergency Medicine",Mountaineers Books,5.29,February,1993
What You Really Need To Know About Hormone Replacement Therapy,"By Buckman, Rob and Dear, Wendy","With a keen and sensitive eye, Dr. Robert Buckman explores the benefits of this treatment and provides every woman with the information she will need to ease this inevitable phase of life."," Medical , Gynecology & Obstetrics",UNKNO,5.29,March,2000
The Arthritis Cure for Pets,"By Adderly, Brenda and Beale, Brian","A groundbreaking book on a common pet health issue demonstrates how osteoarthritis in cats and dogs can be cured using nutritional supplements. 40,000 first printing."," Medical , Veterinary Medicine , Small Animal","Little, Brown",5.29,April,2000
Neale Donald Walsch on Holistic Living,"By Walsch, Neale Donald","I have learned about life that when we live wholly, we live holy. I have been searching for ways to live my life as a whole person, as an integrated being, for twenty-five years. The first thing I came to understand was that, if I am to live an integrated life, I must become far more integrated with my environment. That is, I must become one with it, and treat it as if it were a part of me, not something from which I was separate, and which was separate from me.Holistic living means being aware that I am part of a whole system, a whole idea, a whole reality, and that everything I think, say, and do affects that reality--indeed, at some level, creates it.Are we able to coexist with nature, the universe, and our fellow human beings? Can we live lives that are joyous, harmonious, and largely pain-free? Do we have the ability to tell the truth and change what doesn't work?Neale Donald Walsch thinks so. Living well--physically, mentally, and spiritually--is within our grasp, should we choose to do so. Here are some practical and inspirational ideas for achieving those goals."," Medical , History",Hampton Roads Publishing,5.29,September,1999
In the Wake of the Plague: The Black Death and the World It Made,"By Cantor, Norman F.","The Black Death was the fourteenth century's equivalent of a nuclear war. It wiped out one-third of Europe's population, takingmillion lives. And yet, most of what we know about it is wrong. The details of the Plague etched in the minds of terrified schoolchildren -- the hideous black welts, the high fever, and the awful end by respiratory failure -- are more or less accurate. But what the Plague really was and how it made history remain shrouded in a haze of myths.Now, Norman Cantor, the premier historian of the Middle Ages, draws together the most recent scientific discoveries and groundbreaking historical research to pierce the mist and tell the story of the Black Death as a gripping, intimate narrative."," Medical , History",Harper Perennial,5.29,April,2002
"The Tibetan Book of the Dead: Or, The After-Death Experiences on the Bardo Plane, according to Lama Kazi Dawa-Samdup's English Rendering","By Evans-Wentz, W. Y.",Critical essays preface the Tantric Buddhist text describing the nature of death and man's relationship to it," Medical , Neuroscience",Oxford University Press,4.99,December,1960
Robbins Review of Pathology,"By Klatt, Edward C.","Introducing the new review book to ROBBINS PATHOLOGIC BASIS OF DISEASE, 6th Edition! Following the organization of its parent text, this superb resource features an abundance of questions based on chapter material. What's more, it provides an additional ""comprehensive"" exam of over 150 questions on random topics to mimic the coverage of the USMLE Step 1."," Medical , Pathology",Saunders,5.88,March,2000
Over Here: The First World War and American Society,"By Kennedy, David M.","Considers the implications of America's involvement in World War I for intellectuals, minorities, politicians, and economists"," Medical , Genetics",Oxford University Press,5.29,September,1982
"The 36-Hour Day: A Family Guide to Caring for Persons with Alzheimer Disease, Related Dementing Illnesses, and Memory Loss in Later Life","By Mace, Nancy L. and Rabins, Peter V.",Gives practical advice on caring for family members who can no longer care for themselves," Medical , Neurology",Johns Hopkins University Press,5.29,January,1999
"Without Moral Limits (Updated Edition): Women, Reproduction, and Medical Technology","By Evans, Debra","Throughout history women have traditionally passed along their knowledge of womanhood to their daughters, who in turn entrusted their own daughters with these precious secrets. Sadly, it is a tradition lost. But at what cost?In this powerful book, Debra Evans eloquently and clearly presents what thousands of pages of research document: women's health care is in crisis. She details how medical ""experts"" have taken the place of mothers and grandmothers. How the womb has been rendered optional for procreation now that new techniques allow life to begin in a petrie dish. How doctors are ""liberating"" women from their biological, God-designed destiny and are disregarding medical and moral norms at the expense of their patients' emotions, finances, and bodies. And how, as the traditional domain of women has become the technical domain of doctors, our reproductive competency and dependence on God has increasingly eroded and been sabotaged by our trust in medical professionals and their technology.But Evans also reminds us of a better way. One that understands God's wonderful plan for sexuality and childbearing-- and realizes that therein lies the greatest hope for women."," Medical , Reproductive Medicine & Technology",Crossway,5.29,October,2000
"Histamine and H1-receptor Antagonists in Allergic Disease (Clinical Allergy and Immunology, 7)","By Simons, F. E. R. (EDT)","A comprehensive progress report on allergy research in the areas of histamine receptors, histamine, and histamine H1-receptor antagonists is provided by 27 allergy specialists.  The papers offer fundamental information in histamine research, including chemical structure and effects.  Detailed clinical use is also explored with a focus on pharmacokinetics and pharmacodynamics, and the treatment of allergic rhinoconjunctivitis, asthma, urticaria, and atopic dermatitis.  The final discussions examine adverse effects in the central nervous and cardiovascular systems. Annotation c. by Book News, Inc., Portland, Or."," Medical , Pharmacology",Marcel Dekker,5.53,June,1996
Mayo Clinic on High Blood Pressure,"By Sheps, Sheldon G. (EDT)","A simple and comprehensive guide emphasizes the necessity to manage high-blood pressure and keep it at a safe level and includes insights into prevention, treatment trends, recipes, menus, stress management, and much more. Original."," Medical , Cardiology",Kensington,5.29,March,1999
Epidemiology,"By Gordis, Leon",The 2nd Edition of Epidemiology teaches the basic principles and methods of epidemiology in an understandable and interesting manner. Both the underlying concepts as well as the practical uses of epidemiology in both public health and clinical practice are emphasized. The book is organized into three sections: Section One focuses on the epidemiologic approach to assessing the extent and severity of disease in the community. Section Two deals with using epidemiology to identify the causes of disease. Section Three discusses the use of epidemiology for evaluating health services and screening programs. Many of the diagrams and illustrations have been developed by the author in over 20 years of professional practice.," Medical , Epidemiology",Saunders,5.43,June,2000
Breast Cancer For Dummies,"By Elk, Ronit and Morrow, Monica","If you or someone you love has been diagnosed with breast cancer, you're probably confused, afraid, shocked, or even angry. Or you may be all of the above. Let this book become your trusted manual. Discover more about the cancer, explore treatment options, find ways to make this part of your life easier. Let shared experiences serve as your knowledgeable guide and anchor to help you make wise and confident choices.Think of breast cancer as a journey and this book as your roadmap. Have you already been diagnosed? In that case, this book can help you explore these important truths:Breast cancer is not a death sentence. Most women diagnosed with early stage breast cancer can look forward to enjoying a healthy, full life.Not only are you unique as a person, but so, too, is your particular form of cancer, your treatment options, and your prognosis.Every day more is discovered about how to prevent, detect earlier, and more effectively treat breast cancer.You are not alone. More than two million women in the United States today are breast cancer survivors. Thousands of groups and programs across the country offer support, and chances are, one is close to your neighborhood.All the information in this book is based on the most recent research findings, the clinical expertise of oncologists, and the invaluable experiences of the women who have walked this road before. Breast Cancer For Dummies covers all of the following topics and more in simple, easy-to-understand terms:Coming to grips with breast cancerDecoding your pathology reportFinding the right treatment for youRekindling intimacy after treatmentHealth Insurance and money woesTalking to children about breast cancerThis book can help you feel like you have a sister who's a doctor, a sister who tells you what to expect every step of the way, who gives you the best advice she can, and guides you along the way. (Of course, there is absolutely no replacement for advice about you from your own doctor.) You'll feel empowered to know and understand what's going on in your body, so that you can become a part of your own treatment team and make decisions along with your doctors and your family."," Medical , Oncology",For Dummies,5.41,August,2003
"The Healing Power of Vitamins, Minerals, and Herbs",By Reader's Digest Association (EDT),"A comprehensive reference enables readers to make informed decisions about nutritional supplements, from vitamins and minerals to herbal remedies, presented in an alphabetical format and cross-referenced by symptom and ailment."," Medical , Chemotherapy",Reader's Digest,5.67,January,1999
"Merriam-Webster's Medical Desk Dictionary, Revised Edition",By Merriam-Webster (EDT),"Merriam-Webster?s Medical Desk Dictionary, Revised Edition is an invaluable resource for health care professionals with over 59,000 entries covering today?s most widely used health-care terms, abbreviations, medication names, and biographies of medical pioneers. Unlike unwieldy medical encyclopedias, MW Medical Desk Dictionary, 2E is compact, portable, and affordable making it perfect for everyone from allied health students to medical professionals to consumers without a medical background who want a desktop reference without investing a lot of money."," Medical , Dictionaries & Terminology",Delmar Cengage Learning,8.79,May,2002
The Out-of-Sync Child,"By Kranowitz, Carol Stock","A guide to Sensory Integration Disorder describes the common condition, which can manifest itself in children in excessively high or low activity levels, problems with motor skills, oversensitivity or undersensitivity to sensations and movements, and other symptoms. Original."," Medical , Pediatrics",Perigee Trade,4.99,March,1998
Fibromyalgia & Chronic Myofascial Pain Syndrome : A Survival Manual,"By Copeland, Mary Ellen and Starlanyl, Devin J.","Fibromyalgia & Chronic Myofascial Pain Syndrome offers the first comprehensive patient guide for managing these conditions. You'll start by learning what FMS and MPS are, evaluating your own symptoms, and identifying the tender and/or trigger points that are crucial for treating them. The manual covers chronic pain, sleep problems, and other ""internal affairs,"" shows you how you can use your mind to counteract physical symptoms and the numbing effects of ""fibrofog,"" and provides an extensive set of healing tools - including information on the latest medications, a nutritional program, and tips for using bodywork and other less commonly known treatments. Its comprehensive survival strategies include suggestions for coping with family and work situations, getting support, and dealing with the health care system."," Medical , Diseases","New Harbinger Publications, Inc.",8.79,June,1996
The Merck Manual of Medical Information (Merck Manual Home Health Handbook (Quality)),"By Beers, Mark H. (EDT), Berkow, Robert (EDT), and Merck & Co. (COR)","FOR ONE HUNDRED YEARS, DOCTORS HAVE BEEN COMING TO US FOR ADVICE. NOW YOU CAN, TOO.  One of the most widely used sources of medical information in the world, The Merck Manual had previously been written for doctors and health-care professionaIs -- not the general public. Now The Merck Manual -- Home Edition contains virtually all of the information in the physician's version, but in easy-to-understand, everyday language, with a reader-friendly format. Written by two hundred internationally respected medical experts, this bestselling reference presents in-depth information for almost all medical problems, including:   Heart disease  Digestive disorders  Cancer  Nutrition problems  AIDS  Hormonal problems  Infections  Men's, women's, and children's health issues  Mental health disorders  Accidents and injuries  Care for the dying   and much more, as well as a detailed discussion of prescription and over-the-counter medications, an appendix of resources for help and information, and a detailed index.  Generously illustrated, comprehensive, and current, The Merck Manual -- Home Edition is published as a not-for-profit service by Merck -- a world leader in breakthrough medical discoveries with a long commitment to making the world a healthier"," Medical , Reference",POCKET,10.99,September,2000
Making Sense of Fibromyalgia,"By Wallace, Daniel J. and Wallace, Janice Brock","This year, six million Americans--most of them women--will go to their doctors, complaining of an illness they have no name for. The majority will be turned away or treated for depression; the few who persist will go to an average of four doctors before they receive the correct diagnosis: fibromyalgia.      In Making Sense of Fibromyalgia, noted medical writer Janice Wallace and Dr. Daniel Wallace, a leading expert on this disorder, provide a comprehensive guide--for both patients and professionals--to this little known and poorly understood syndrome. The authors offer detailed information in a clear and accessible style, taking readers through the steps of diagnosis, all the established forms of treatment, and alternative therapies that have yet to be proven effective. Fibromyalgia, they explain, is a pain amplification, brought on by abnormal interactions between hormones, the immune system, neurotransmitters, and the autonomic nervous system. Sometimes the syndrome occurs spontaneously; in most cases, the authors write, it is associated with trauma, stress, such conditions as lupus and hypothyroidism, and over forty microbes, from hepatitis to Epstein Barr to Lyme disease. They draw on actual cases to illustrate their points  and to break through the isolation that patients often feel when doctors misdiagnose or simply ignore their symptoms.      When Dr. Wallace wrote The Lupus Book, he brought hope and relief into the lives of countless Americans, in a book that sold through many printings. In Making Sense of Fibromyalgia, the authors address a desperate need for information and reassurance, in a groundbreaking book."," Medical , Rheumatology",Oxford University Press,5.29,January,1999
Physicians' Desk Reference 2007 (Physicians' Desk Reference (PDR)),By PDR Staff (COR),"Identifies thousands of prescription drugs, and provides information on ingredients, purpose, usage, precautions, side effects, and dosages"," Medical , Reference",Physicians Desk Reference Inc,12.4,January,2007
The Ethical Brain,"By Gazzaniga, Michael S.","Will increased scientific understanding of our brains overturn our beliefs about moral and ethical behavior? How will increasingly powerful brain imaging technologies affect the ideas of privacy and of self-incrimination? Such thought-provoking questions are rapidly emerging as new discoveries in neuroscience have raised difficult legal and ethical dilemmas. Michael Gazzaniga, widely considered to be the father of cognitive neuroscience, investigates with an expert eye some of these controversial and complex issues in The Ethical Brain. He first examines ""lifespan neuroethics"" and considers how brain development defines human life, from when an embryo develops a brain and could be considered ""one of us"" to the issues raised as the brain ages, such as whether we should have complete freedom to extend our lives and enhance our brains through the use of genetics, pharmaceuticals, and training. Gazzaniga also considers the challenges posed to the justice system by new discoveries in neuroscience. Recent findings suggest that our brain has already made a decision before we become fully aware of doing so, raising the question of whether the concept of personal responsibility can remain a fundamental tenet of the law. Gazzaniga argues that as neuroscience learns more about the unreliability of human memory, the very foundation of trial law will be challenged. Gazzaniga then discusses a radical re-evaluation of the nature of moral belief, as he not only looks at possibly manipulating the part of the brain that creates beliefs but also explores how scientific research is building a brain-based account of moral reasoning. The Ethical Brain is a groundbreaking volume that presents neuroscience's loaded findings--and their ethical implications--in an engaging and readable manner, offering an incisive and thoughtful analysis of the medical ethics challenges confronting modern society at the dawn of the twenty-first century."," Medical , Neuroscience",Dana Press,5.29,April,2005
Lippincott's Illustrated Reviews : Pharmacology : Special Millennium Update,"By Champe, Pamela C., Harvey, Richard A., Ph.D., and Mycek, Mary Julia","Students and faculty alike have attested to the extraordinary success rate of the Lippincott's Illustrated Reviews -- the unparalleled review texts that clarify the essentials students need to know for the Boards through an easy-to-use outline format. Now, this review series offers this updated Millennium Edition of Lippincott's Illustrated Review: Pharmacology, Second Edition that includes an updated and comprehensive insert containing information on important new drugs introduced since 1996. The index has been fully revised to reflect the additional information found within the text. Designed and edited by top educators, the book helps the student tie together the visual and cognitive elements of learning for superior recognition and recall. Many updated figures and tables, carefully crafted to complement and amplify the text, are completely integrated with the text. Infolink cross-references between the Pharmacology and Biochemistry volumes of the series, enabling students to interrelate the two disciplines."," Medical , Pharmacology",Lippincott Williams & Wilkins,10.99,November,1999
The Developing Human: Clinically Oriented Embryology (DEVELOPING HUMAN (MOORE)),"By Moore, Keith L. and Persaud, T. V. N.","This best-selling resource comprehensively covers human embryology and teratology, presenting all of the complex clinical and scientific concepts in an engaging, lucid, and practical way.  Completely revised and updated, the 7th Edition consistently emphasizes the clinical aspects by using a wealth of case studies, clinical correlations, and hundreds of outstanding illustrations.Features a wealth of clinical case studies-and hundreds of color photgraphs-enabling readers to relate what they are learning to clinical practice. Contains a chapter on birth defects that can be used as a ""mini textbook"" on the subject.Integrates the molecular aspects of embryonic development, including information on stem cells · homeobox genes · gamete formation · regulation control and the molecules/receptors involved · gene activity and expression · and more. Includes illustrations of new diagnostic procedures, including sonographs, MRIs, electron micrographs, 3D images, and clinical photographs. Includes the new terminology developed for embryology-the Terminoligica Embryologica. Presents completely revised and updated Clinically Oriented Questions and Answers based on the current requirements of the USMLE Step 1. Has been reviewed by leading geneticists and pediatricians to ensure that all of the information reflects the realities of clinical practice."," Medical , Embryology",Saunders,7.2,January,2003
The South Beach Heart Program: The 4-Step Plan that Can Save Your Life (The South Beach Diet),"By Agatston, Arthur, M.D.","A pioneering cardiologist and the author of the international bestseller The South Beach Diet presents the truth about cardiac care in this country and offers his proven program for preventing heart attacks and strokes. This year alone more than 1 million men and women in this country will suffer a heart attack or stroke. The shocking fact is that the majority of heart attacks and strokes can be prevented with the medical knowledge we already possess. Yet this isn’t happening. Why? Because doctors and hospitals are paid more to treat disease with invasive techniques like angioplasty and bypass surgery than to prevent it. In his most personal and passionate work yet, Dr. Arthur Agatston champions a revolution in heart disease prevention that will enable people to stay out of the hospital and off the operating table. In Part 1 of this compelling book, he tells you why seemingly healthy people can suddenly have a heart attack and why people with great cholesterol numbers can be walking time bombs. He explains why belly fat can be an early warning sign of future heart disease and why a noninvasive heart scan can help predict your risk of heart attack. In Part 2, he presents the South Beach Heart Program, his 4-step plan for detecting, preventing, and even reversing heart disease: The 4 steps include: Heart-healthy eating, regular aerobic and core-strengthening exercise, state-of-the art diagnostic testing, and the latest heart-protective medications, as necessary. Thanks to his aggressive prevention approach, Dr. Agatston rarely sees a heart attack or stroke in his practice. Now you can benefit from the prevention strategy he uses to help his patients every day."," Medical , Cardiology",Rodale Books,4.99,December,2006
The New Antidepressants and Antianxieties,"By Appleton, William S.","As the number of people suffering from depression rises, so does the number of treatments that flood the market. In this new third edition, Harvard Medical School professor William S. Appleton shares the latest research findings and treatment techniques, along with illuminating case histories, to answer readers’ questions about the new antidepressants and antianxieties. This practical guide includes information on:  ? The newest antidepressants?Lexapro and Cymbalta ? Treating anger and irritability, conquering insomnia ? A preview of future treatments ? How and when to get off the drugs ? Side effects such as sexual dysfunction, weight gain, and insomnia This completely revised and updated edition gives a balanced view of the pros and cons of antidepressants and up-to-the-minute information on all the latest medications and treatments being used to treat depression."," Medical , Drug Guides",Plume,5.29,September,2004
The Human Brain: An Introduction to Its Functional Anatomy,"By Nolte, John","THE HUMAN BRAIN is a single-authored, core introductory neuroscience text that describes the structure and function of the brain and nervous system. The text covers the neuroanatomy that medical and other healthcare students need, with expanded coverage of neurophysiology and inclusion of clinical content providing real-life application of neuroanatomy and neurophysiologic concepts to clinical neurologic disorders. Its readability and enhanced full-color illustrations make it a favorite among both students and faculty.Provides a single-author approach for a more consistent, readable text.Contains summary statement headings to help you find what you're looking for within the text.Provides an outline introducing each chapter to help students organize and stay focused as they learn.Includes appealing four-color, computerized three-dimensional images of the brain and brain structures fully integrated with the text.Complements an Electronic Image Bank that is also available separately.Includes more coverage of neurobiology and neurophysiology.Gives more clinical content, including many images depicting neurologic disorders.Features an expanded section on higher cortical function.Features an expanded section on learning and memory.Contains a new chapter on the development, maintenance, and repair of neural connections-an explosive area of research in neuroscience.Supplies a glossary of key terms.Replaces many of the older figures with new, computer-generated illustrations."," Medical , Anatomy",Mosby,7.77,January,2002
Langman's Medical Embryology,"By Sadler, T. W. and Langman, Jan","Highly informative, this revised edition of Langman's Medical Embryology gives students a better understanding of the essentials of clinically relevant aspects of embryology. This Eighth Edition includes more information on the genetics of birth defects, thus enabling the reader to go beyond morphology and understand embryogenesis at both the cellular and molecular levels. Clinical aspects are emphasized throughout the text, and clinically-oriented problems are listed at the end of each chapter with answers provided in the appendix. Fifty new three-dimensional illustrations help to enhance students' understanding of the organization and formation of the embryo at various stages. Many new SEMs, clinical photographs, and clearly labeled illustrations are incorporated throughout the text."," Medical , Education & Training",Lippincott Williams & Wilkins,5.59,April,2000
Medical Microbiology (Medical Microbiology (Murray)),"By Murray, Patrick R., Ph.D., Rosenthal, Ken S., Ph.D., Kobayashi, George S., Ph.D., and Pfaller, Michael A.","Succinct and focused, this book presents today's most important facts and information about the microbes that cause diseases in humans. This text delivers balanced coverage of immunology, bacteriology, virology, mycology, and parasitology in a user-friendly and organized format, with an emphasis on teaching the student to think like a doctor.  An extensive 4-color art program illustrates the text. The 4th Edition has been meticulously revised and updated to incorporate new knowledge, new treatments, and new illustrations.Immunology section by Rosenthal - can serve as text for student in medical school immunology coursesFull colour art programStrong clinical orientation with numerous clinical correlations and case studies with questions - teaches student to think like a doctor and helps instructors integrate clinical material into courses Coloured boxes and summary tables to summarise key informationClinical photographs used to illustrate diseases throughout textText thoroughly updated to include recent epidemiologic data Spanish version also available, ISBN: 84-8174-610-XSpanish version of 2nd edition also available, ISBN: 84-8174-162-0"," Medical , Microbiology",Mosby,7.97,January,2002
