uniqueid,farmid,Name_Availablity_Code,Telephone_Availablity_Code,address_Availablity_Code,crop_Availablity_Code,email_Availablity_Code,livestock_Availablity_Code,Crops_Name,LiveStock_name,state,city,zipcode,latitude,longitude,Owner_operator_type,rural_flag,total_farm_exact_acres
1389,F90000838386,1,1,1,1,1,NULL,"SOYBEAN,WHEAT,FORAGE,GRASS",NULL,MA,CHELMSFORD,1824,42.5915,71.3555,,NULL,82
1397,F00000253483,1,NULL,1,1,1,NULL,SOYBEAN,NULL,MA,DRACUT,1826,42.6832,71.3006,,1,NULL
1423,F00000618011,1,1,1,1,1,NULL,"CORN,ALFALFA,ROOTS TUBEROUS VEGETABLES,FORAGE,FRUITING AND FLOWERING VEGETABLE,PODDED VEGETABLES,MELONS",NULL,MA,HAVERHILL,1835,42.7512,71.0864,,1,119
1451,F31000116510,1,1,1,1,1,NULL,,NULL,MA,CARLISLE,1741,42.5299,71.3514,,1,23
1471,F90000897765,1,NULL,1,1,1,NULL,CORN,NULL,WI,RIVER FALLS,54022,44.8561,92.6272,,1,3
1484,F40000916809,NULL,NULL,1,1,NULL,NULL,"CORN,SOYBEAN,FORAGE",NULL,MA,WINCHESTER,1890,42.4518,71.1465,,NULL,471
1506,F00000087390,1,NULL,1,1,NULL,NULL,"CORN,FORAGE,FRUITING AND FLOWERING VEGETABLE,PODDED VEGETABLES,MELONS,APPLE",NULL,MA,BOXFORD,1921,42.6796,71.0165,,1,NULL
6,F31000043402,1,NULL,1,1,1,NULL,ORGANIC FARMERS,NULL,MA,AMHERST,1002,42.3773,72.4671,,NULL,NULL
29,F00000505022,NULL,NULL,1,1,NULL,NULL,"CORN,SOYBEAN",NULL,MA,AMHERST,1002,42.3773,72.4671,,1,15
48,F21000354615,1,NULL,1,1,1,NULL,HONEY,NULL,MA,BARRE,1005,42.4202,72.106,,NULL,NULL
84,F00000594801,1,NULL,1,1,NULL,NULL,OATS,NULL,MA,CHESTERFIELD,1012,42.39,72.8444,,NULL,8
95,F20000008727,NULL,NULL,1,1,NULL,NULL,"CORN,SOYBEAN",NULL,MA,CUMMINGTON,1026,42.4538,72.924,,1,149
112,F00000770821,NULL,NULL,1,1,NULL,NULL,"CORN,OATS,FORAGE",NULL,MA,EASTHAMPTON,1027,42.2952,72.7431,,1,287
137,F01000986248,1,1,1,1,1,NULL,WHEAT,NULL,MA,GRANBY,1033,42.2613,72.5027,,1,NULL
147,F11000517755,NULL,NULL,1,1,NULL,NULL,"FORAGE,TREE FRUIT,APPLE",NULL,MA,GRANVILLE,1034,42.0855,72.9568,,1,208
157,F00000897211,1,NULL,1,1,NULL,NULL,"ROOTS TUBEROUS VEGETABLES,FORAGE,TOBACCO",NULL,MA,HADLEY,1035,42.3561,72.5677,,1,57
167,F21000932827,1,1,1,1,1,NULL,CORN,NULL,MA,HADLEY,1035,42.3561,72.5677,,1,NULL
182,F01000819219,NULL,NULL,1,1,NULL,NULL,"FORAGE,TOBACCO",NULL,MA,HADLEY,1035,42.3561,72.5677,,1,8
195,F01000559949,1,1,1,1,1,NULL,POTATO,NULL,MA,HADLEY,1035,42.3561,72.5677,,1,NULL
212,F01000145639,1,NULL,1,1,1,NULL,FORAGE,NULL,MA,HADLEY,1035,42.3561,72.5677,,1,NULL
244,F11000231350,NULL,NULL,1,1,NULL,NULL,"CORN,FORAGE,BARLEY",NULL,MA,HARDWICK,1037,42.3503,72.2001,,NULL,91
278,F00000705501,1,1,1,1,1,NULL,"FRUITING AND FLOWERING VEGETABLE,BULB AND STEM VEGETABLES,BRASSICAS VEGETABLES,MELONS,GRASS",NULL,MA,HAYDENVILLE,1039,42.4048,72.6898,,1,43
290,F00000049790,1,1,1,1,NULL,1,"CORN,SOYBEAN,OATS,FORAGE",SHEEP,MA,LEEDS,1053,42.3532,72.7129,,NULL,94
330,F00000906311,1,NULL,1,1,NULL,NULL,"CORN,FORAGE,FRUITING AND FLOWERING VEGETABLE,MELONS",NULL,MA,NORTH HATFIELD,1066,42.4107,72.6253,,NULL,57
361,F00000499190,1,1,1,1,1,NULL,FORAGE,NULL,MA,SOUTHAMPTON,1073,42.231,72.7376,,1,48
371,F00000292401,1,1,1,1,NULL,NULL,"CORN,GRAIN,ROOTS TUBEROUS VEGETABLES,FORAGE,BERRIES,FRUITING AND FLOWERING VEGETABLE,TREE FRUIT,BRASSICAS VEGETABLES,MELONS,GRAIN PLUS,HOME GARDEN",NULL,MA,SOUTH HADLEY,1075,42.2564,72.5775,,1,17
399,F00000494801,1,1,1,1,1,NULL,FORAGE,NULL,MA,WARE,1082,42.2735,72.2794,,1,48
415,F01000228042,1,1,1,1,1,NULL,BARLEY,NULL,MA,SOUTHWICK,1077,42.055,72.7789,,1,NULL
445,F11000290785,NULL,NULL,1,1,NULL,NULL,"TREE FRUIT,APPLE",NULL,MA,WILBRAHAM,1095,42.1269,72.4307,,1,48
456,F00000350209,1,1,1,1,NULL,NULL,BARLEY,NULL,NM,ALBUQUERQUE,87111,35.132,106.486,,NULL,183
476,F11000869179,1,NULL,1,1,NULL,NULL,TOBACCO,NULL,MA,SPRINGFIELD,1109,42.1176,72.5486,,NULL,NULL
500,F00000953621,NULL,NULL,1,1,NULL,NULL,"CORN,FORAGE,BARLEY",NULL,MA,PITTSFIELD,1201,42.4608,73.282,,NULL,96
515,F00000554721,NULL,NULL,1,1,NULL,NULL,FORAGE,NULL,MA,ADAMS,1220,42.6258,73.0997,,1,243
553,F01000920357,NULL,NULL,1,1,NULL,NULL,CORN,NULL,MA,LANESBOROUGH,1237,42.5714,73.2564,,NULL,NULL
569,F90000754484,1,1,1,1,1,NULL,WHEAT,NULL,MA,OTIS,1253,42.2067,73.1132,,NULL,NULL
598,F00000600905,NULL,NULL,1,1,NULL,NULL,CORN,NULL,MA,WILLIAMSTOWN,1267,42.6848,73.2282,,NULL,NULL
609,F00000472890,1,1,1,1,NULL,NULL,,NULL,MA,GREENFIELD,1301,42.629,72.6062,,1,NULL
637,F01000510436,1,NULL,1,1,NULL,NULL,CORN,NULL,MA,ASHFIELD,1330,42.5227,72.8242,,1,NULL
656,F00000811601,1,NULL,1,1,NULL,1,"CORN,FORAGE",DAIRY,MA,BERNARDSTON,1337,42.6986,72.5766,,1,44
682,F00000830821,NULL,NULL,1,1,NULL,1,,DAIRY,MA,COLRAIN,1340,42.6891,72.7385,,1,3
713,F00000380231,NULL,1,1,1,NULL,1,"FORAGE,GRASS",DAIRY,PA,TELFORD,18969,40.326,75.3739,,1,7
732,F31000326102,1,NULL,1,1,NULL,NULL,ORGANIC FARMERS,NULL,MA,MONTAGUE,1351,42.5391,72.5186,,NULL,NULL
757,F00000299990,1,1,1,1,1,NULL,"CORN,FORAGE",NULL,MA,PETERSHAM,1366,42.4757,72.2015,,1,94
783,F90000899195,1,1,1,1,NULL,NULL,"CORN,ROOTS TUBEROUS VEGETABLES,FORAGE,FRUITING AND FLOWERING VEGETABLE,BULB AND STEM VEGETABLES,BRASSICAS VEGETABLES,LEAFY AND SALAD VEGETABLES,MELONS,ORGANIC FARMERS",NULL,MA,SOUTH DEERFIELD,1373,42.4698,72.6164,,1,NULL
789,F11000143345,1,NULL,1,1,1,NULL,"CORN,ROOTS TUBEROUS VEGETABLES,FORAGE,FRUITING AND FLOWERING VEGETABLE,MELONS",NULL,MA,SUNDERLAND,1375,42.4651,72.5539,,1,NULL
797,F31000068102,1,1,1,1,NULL,NULL,ORGANIC FARMERS,NULL,MA,SOUTH DEERFIELD,1373,42.4698,72.6164,,NULL,NULL
819,F01000509219,1,NULL,1,1,NULL,NULL,WHEAT,NULL,MA,SOUTH DEERFIELD,1373,42.4698,72.6164,,1,NULL
835,F11000725042,1,1,1,1,1,NULL,BARLEY,NULL,MA,SOUTH DEERFIELD,1373,42.4698,72.6164,,1,NULL
845,F01000719219,1,1,1,1,1,NULL,OATS,NULL,MA,SUNDERLAND,1375,42.4651,72.5539,,1,NULL
857,F31000739302,1,1,1,1,1,NULL,ORGANIC FARMERS,NULL,MA,SUNDERLAND,1375,42.4651,72.5539,,1,NULL
866,F00000432890,1,1,1,1,NULL,1,ORGANIC FARMERS,DAIRY,MA,WARWICK,1378,42.6702,72.3543,,1,8
881,F31000440012,NULL,NULL,1,1,NULL,NULL,ORGANIC FARMERS,NULL,MA,WOBURN,1801,42.4867,71.1543,,NULL,NULL
769,F00000829790,1,1,1,1,NULL,1,,SHEEP,MA,SHELBURNE FALLS,1370,42.6026,72.7442,,1,6
786,F00000070721,NULL,NULL,1,1,NULL,NULL,BARLEY,NULL,MA,SOUTH DEERFIELD,1373,42.4698,72.6164,,1,732
802,F00000475721,NULL,NULL,1,1,NULL,NULL,"CORN,ALFALFA,ROOTS TUBEROUS VEGETABLES,FORAGE,BERRIES,FRUITING AND FLOWERING VEGETABLE,TOBACCO,BRASSICAS VEGETABLES,MELONS,GRASS",NULL,MA,SOUTH DEERFIELD,1373,42.4698,72.6164,,1,364
836,F00000740821,NULL,NULL,1,1,NULL,NULL,"ROOTS TUBEROUS VEGETABLES,FORAGE,FRUITING AND FLOWERING VEGETABLE,BRASSICAS VEGETABLES,LEAFY AND SALAD VEGETABLES,MELONS",NULL,MA,SOUTH DEERFIELD,1373,42.4698,72.6164,,1,351
854,F00000840611,1,1,1,1,NULL,NULL,"CORN,FORAGE,PODDED VEGETABLES,TOBACCO,HOME GARDEN",NULL,MA,SUNDERLAND,1375,42.4651,72.5539,,1,39
869,F01000674919,NULL,NULL,1,1,NULL,NULL,BARLEY,NULL,MA,FITCHBURG,1420,42.5924,71.8176,,NULL,NULL
882,F11000527436,NULL,NULL,1,1,NULL,NULL,OATS,NULL,MA,BALDWINVILLE,1436,42.602,72.089,,NULL,NULL
889,F90000901795,1,1,1,1,NULL,NULL,SOYBEAN,NULL,MA,GROTON,1450,42.6135,71.5611,,1,2479
897,F31000370012,1,1,1,1,NULL,NULL,"ORGANIC FARMERS,BARLEY",NULL,MA,HARVARD,1451,42.5009,71.5775,,1,NULL
908,F00000049723,1,1,1,1,NULL,1,BARLEY,SHEEP,MA,HUBBARDSTON,1452,42.4838,72.0053,,1,4
917,F11000717755,NULL,NULL,1,1,NULL,NULL,"FORAGE,BERRIES,FRUITING AND FLOWERING VEGETABLE,TREE FRUIT,MELONS,APPLE",NULL,MA,LITTLETON,1460,42.5349,71.4895,,1,219
927,F00000345501,1,1,1,1,NULL,NULL,"CORN,ROOTS TUBEROUS VEGETABLES,FORAGE,BERRIES,FRUITING AND FLOWERING VEGETABLE,PODDED VEGETABLES,BRASSICAS VEGETABLES,LEAFY AND SALAD VEGETABLES,MELONS",NULL,MA,LUNENBURG,1462,42.5909,71.7208,,NULL,35
940,F00000454390,1,1,1,1,1,NULL,"CORN,FORAGE,FRUITING AND FLOWERING VEGETABLE,PODDED VEGETABLES,MELONS",NULL,MA,GROTON,1450,42.6135,71.5611,,1,141
953,F10000506380,1,NULL,1,1,NULL,1,,SHEEP,FL,DAYTONA BEACH,32118,29.215,81.0051,,NULL,8
973,F31000645802,1,1,1,1,NULL,NULL,ORGANIC FARMERS,NULL,MA,BERLIN,1503,42.3838,71.6355,,1,NULL
999,F21000596578,1,NULL,1,1,1,NULL,CORN,NULL,SC,AIKEN,29805,33.6219,81.623,,1,NULL
1009,F00000359790,1,1,1,1,1,1,HONEY,SHEEP,MA,HOLDEN,1520,42.3349,71.8573,,NULL,6
1035,F00000699490,1,1,1,1,NULL,NULL,CORN,NULL,MA,MILLBURY,1527,42.1926,71.7739,,1,NULL
1048,F00000196311,1,1,1,1,1,NULL,,NULL,MA,NEW BRAINTREE,1531,42.3191,72.1283,,1,NULL
1055,F21000258610,1,1,1,1,NULL,NULL,FORAGE,NULL,MA,NORTHBOROUGH,1532,42.3229,71.6469,,NULL,23
1063,F21000244855,1,1,1,1,1,NULL,"FORAGE,BARLEY",NULL,MA,NORTH BROOKFIELD,1535,42.2695,72.0791,,1,19
1086,F30000896359,1,1,1,1,1,NULL,,NULL,MA,FITCHBURG,1420,42.5924,71.8176,,NULL,72
1098,F21000563684,1,NULL,1,1,NULL,NULL,CORN,NULL,MA,SHREWSBURY,1545,42.2859,71.7148,,1,831
1147,F90000284484,1,NULL,1,1,NULL,NULL,OATS,NULL,MA,DUDLEY,1571,42.0567,71.9306,,NULL,NULL
1162,F90000384484,1,NULL,1,1,NULL,NULL,,NULL,MA,DUDLEY,1571,42.0567,71.9306,,NULL,NULL
1177,F00000751490,1,NULL,1,1,1,NULL,"CORN,FORAGE",NULL,MA,WEST BROOKFIELD,1585,42.2611,72.1621,,1,149
1193,F00000441321,1,NULL,1,1,NULL,NULL,,NULL,MA,WORCESTER,1602,42.2724,71.8495,,NULL,NULL
1224,F21000125180,NULL,NULL,1,1,NULL,NULL,CORN,NULL,MA,BOXBOROUGH,1719,42.4884,71.5177,,1,NULL
1238,F00000811640,1,NULL,1,1,NULL,NULL,GRASS,NULL,MA,ASHLAND,1721,42.2571,71.468,,NULL,NULL
1258,F11000848786,1,NULL,1,1,NULL,NULL,CORN,NULL,MA,BOLTON,1740,42.4359,71.6066,,1,NULL
1282,F90000074298,1,1,1,1,1,NULL,WHEAT,NULL,MA,CONCORD,1742,42.464,71.3767,,NULL,81
1286,F00000912331,NULL,NULL,1,1,NULL,NULL,CORN,NULL,MA,CONCORD,1742,42.464,71.3767,,NULL,174
1306,F00000916401,1,1,1,1,NULL,NULL,"CORN,FORAGE",NULL,MA,MENDON,1756,42.0929,71.5511,,1,241
1330,F00000056401,1,1,1,1,NULL,1,"GRASS,HONEY",SHEEP,MA,SOUTHBOROUGH,1772,42.3002,71.5323,,1,7
1348,F21000436156,NULL,NULL,1,1,NULL,NULL,COTTON,NULL,MA,LINCOLN,1773,42.4264,71.3094,,NULL,NULL
1359,F90000916527,1,NULL,1,1,1,NULL,"CORN,SOYBEAN",NULL,IL,KANSAS,61933,39.5477,87.921,,1,84
1376,F80000847884,1,NULL,1,1,1,NULL,"WHEAT,BARLEY",NULL,MA,BURLINGTON,1803,42.5021,71.2027,,NULL,379
1402,F00000662621,NULL,NULL,1,1,NULL,1,"FORAGE,ORGANIC FARMERS,GRASS",DAIRY,MA,DRACUT,1826,42.6832,71.3006,,1,87
1415,F90000966498,1,1,1,1,1,NULL,"CORN,SOYBEAN,WHEAT",NULL,MA,HAVERHILL,1830,42.7965,71.0534,,NULL,83
1421,F00000908511,1,NULL,1,1,NULL,NULL,,NULL,MA,GROVELAND,1834,42.7505,71.0153,,1,NULL
1444,F00000708011,1,NULL,1,1,NULL,NULL,"WHEAT,APPLE",NULL,MA,LOWELL,1854,42.6505,71.3545,,NULL,3
1464,F00000987033,1,1,1,1,NULL,NULL,,NULL,MA,TYNGSBORO,1879,42.6592,71.448,,1,NULL
1500,F80000381656,1,1,1,1,NULL,NULL,SOYBEAN,NULL,MA,BEVERLY,1915,42.5685,70.8619,,NULL,11
1516,F11000216607,NULL,NULL,1,1,NULL,NULL,CORN,NULL,MA,ESSEX,1929,42.6303,70.7811,,1,NULL
899,F31000059202,1,1,1,1,NULL,NULL,ORGANIC FARMERS,NULL,MA,HARVARD,1451,42.5009,71.5775,,NULL,NULL
922,F00000006390,1,NULL,1,1,NULL,NULL,,NULL,MA,LITTLETON,1460,42.5349,71.4895,,1,NULL
962,F00000216301,1,NULL,1,1,1,NULL,WHEAT,NULL,MA,WINCHENDON,1475,42.6665,72.049,,1,NULL
982,F00000428890,1,1,1,1,NULL,NULL,FORAGE,NULL,MA,CHARLTON,1507,42.1351,71.9685,,1,9
992,F31000950012,NULL,NULL,1,1,NULL,NULL,"ORGANIC FARMERS,BARLEY",NULL,MA,CLINTON,1510,42.4151,71.6845,,NULL,NULL
1000,F00000661911,1,1,1,1,1,1,,SHEEP,MA,DOUGLAS,1516,42.0528,71.7498,,1,3
1029,F00000152231,1,NULL,1,1,NULL,NULL,"CORN,FORAGE,FRUITING AND FLOWERING VEGETABLE,MELONS",NULL,MA,LEICESTER,1524,42.2492,71.9206,,1,30
1043,F00000812801,1,1,1,1,1,1,"CORN,FORAGE,GRASS",SHEEP,MA,NEW BRAINTREE,1531,42.3191,72.1283,,1,44
1051,F11000600495,NULL,NULL,1,1,NULL,NULL,CORN,NULL,MA,NORTHBOROUGH,1532,42.3229,71.6469,,1,4396
1094,F00000702690,1,1,1,1,1,NULL,"FORAGE,FRUITING AND FLOWERING VEGETABLE,MELONS",NULL,MA,RUTLAND,1543,42.3849,71.9673,,1,87
1118,F21000111547,1,NULL,1,1,NULL,NULL,CORN,NULL,MA,SPENCER,1562,42.2477,71.9927,,1,9
1126,F11000400479,1,1,1,1,1,NULL,CORN,NULL,MA,STERLING,1564,42.441,71.7743,,1,NULL
1135,F00000918301,1,1,1,1,1,NULL,"CORN,FORAGE,BERRIES,FRUITING AND FLOWERING VEGETABLE,TREE FRUIT,MELONS,GRASS",NULL,MA,STERLING,1564,42.441,71.7743,,1,103
1164,F00000801801,1,1,1,1,1,NULL,,NULL,MA,WESTBOROUGH,1581,42.2681,71.6145,,NULL,NULL
1185,F11000471715,NULL,NULL,1,1,NULL,NULL,GRASS,NULL,MA,SUTTON,1590,42.1334,71.7509,,1,NULL
1204,F11000029266,1,NULL,1,1,NULL,NULL,,NULL,MA,PAXTON,1612,42.3101,71.933,,NULL,NULL
1211,F21000987066,1,1,1,1,NULL,NULL,,NULL,MA,FRAMINGHAM,1701,42.3203,71.4404,,NULL,NULL
1221,F31000105051,1,NULL,1,1,NULL,NULL,"WHEAT,FORAGE,BARLEY",NULL,MA,BOXBORO,1719,42.486,71.5209,,1,194
1248,F31000540012,NULL,NULL,1,1,NULL,NULL,ORGANIC FARMERS,NULL,MA,BEDFORD,1730,42.4949,71.2781,,NULL,NULL
1259,F21000218543,1,NULL,1,1,1,NULL,SOYBEAN,NULL,MA,BOLTON,1740,42.4359,71.6066,,1,NULL
1275,F90000846114,NULL,NULL,1,1,NULL,NULL,"WHEAT,FORAGE,GRASS,BARLEY",NULL,MA,CONCORD,1742,42.464,71.3767,,NULL,5000
1291,F21000709587,1,1,1,1,1,NULL,WHEAT,NULL,MA,HOPEDALE,1747,42.1252,71.5349,,NULL,1359
1307,F90000240377,1,NULL,1,1,1,NULL,,NULL,MA,MILFORD,1757,42.1566,71.5186,,NULL,NULL
1313,F10000956874,NULL,NULL,1,1,NULL,NULL,WHEAT,NULL,MA,NATICK,1760,42.2868,71.3531,,NULL,NULL
1323,F00000813721,NULL,NULL,1,1,NULL,NULL,"CORN,ROOTS TUBEROUS VEGETABLES,FORAGE,BERRIES,FRUITING AND FLOWERING VEGETABLE,PODDED VEGETABLES,TREE FRUIT,BRASSICAS VEGETABLES,LEAFY AND SALAD VEGETABLES,MELONS,TREES",NULL,MA,SHERBORN,1770,42.234,71.375,,1,91
1346,F31000647202,1,1,1,1,NULL,NULL,ORGANIC FARMERS,NULL,MA,LINCOLN,1773,42.4264,71.3094,,NULL,NULL
1370,F31000901012,NULL,NULL,1,1,NULL,NULL,ORGANIC FARMERS,NULL,MA,MARLBOROUGH,1752,42.3495,71.5482,,NULL,NULL
1379,F00000113752,NULL,NULL,1,1,NULL,NULL,"CORN,SOYBEAN",NULL,MA,ANDOVER,1810,42.6464,71.1647,,1,194
1393,F21000689166,1,1,1,1,1,NULL,,NULL,MA,CHELMSFORD,1824,42.5915,71.3555,,NULL,NULL
1416,F11000926369,1,NULL,1,1,NULL,NULL,,NULL,MA,HAVERHILL,1832,42.7916,71.1315,,1,NULL
1439,F00000702801,1,NULL,1,1,NULL,NULL,"CORN,FORAGE,BERRIES,FRUITING AND FLOWERING VEGETABLE,BULB AND STEM VEGETABLES,PODDED VEGETABLES,TREE FRUIT,BRASSICAS VEGETABLES,LEAFY AND SALAD VEGETABLES,MELONS,HOME GARDEN",NULL,MA,NORTH ANDOVER,1845,42.6711,71.0866,,NULL,69
1448,F01000484798,NULL,NULL,1,1,NULL,NULL,"CORN,FORAGE,APPLE",NULL,MA,MERRIMAC,1860,42.8389,71.0131,,NULL,116
1475,F01000853971,1,1,1,1,NULL,NULL,GRASS,NULL,MA,WILMINGTON,1887,42.5608,71.1653,,1,70
1480,F01000133640,NULL,NULL,1,1,NULL,NULL,BARLEY,NULL,MA,WINCHESTER,1890,42.4518,71.1465,,NULL,NULL
1497,F00000939342,1,NULL,1,1,NULL,NULL,FORAGE,NULL,MA,BEVERLY,1915,42.5685,70.8619,,NULL,23
1534,F10000974856,1,NULL,1,1,1,NULL,COTTON,NULL,FL,NORTH PALM BEACH,33408,26.8566,80.0556,,NULL,59
1555,F31000607702,1,1,1,1,NULL,NULL,ORGANIC FARMERS,NULL,MA,SALISBURY,1952,42.8501,70.8633,,1,NULL
1580,F00000073590,1,1,1,1,1,1,,SHEEP,MA,WEST NEWBURY,1985,42.7931,70.969,,1,6
1601,F21000625387,1,1,1,1,1,NULL,,NULL,MA,DOVER,2030,42.2364,71.2839,,1,NULL
1624,F31000691210,1,1,1,1,1,NULL,SOYBEAN,NULL,MA,HULL,2045,42.2829,70.8734,,NULL,8
1638,F11000180085,1,1,1,1,NULL,NULL,SOYBEAN,NULL,MA,MILLIS,2054,42.1692,71.3624,,1,NULL
1661,F20000416576,1,1,1,1,NULL,NULL,"CORN,SOYBEAN",NULL,MA,WALPOLE,2081,42.149,-71.259,,NULL,418
1673,F00000908411,1,NULL,1,1,1,NULL,WHEAT,NULL,MA,WRENTHAM,2093,42.0515,71.3548,,1,NULL
1693,F00000321990,NULL,NULL,1,1,NULL,NULL,"FORAGE,GRASS,BARLEY",NULL,MA,BOSTON,2110,42.3568,71.0536,,NULL,209
1523,F01000270496,NULL,NULL,1,1,NULL,NULL,"CORN,SOYBEAN,WHEAT",NULL,MA,GLOUCESTER,1930,42.6166,70.7157,,NULL,138
1528,F90000614688,NULL,NULL,1,1,NULL,NULL,CORN,NULL,MA,IPSWICH,1938,42.6812,70.8495,,NULL,NULL
1535,F01000568483,1,1,1,1,1,NULL,,NULL,SC,SAINT HELENA ISLAND,29920,32.3871,80.5485,,1,92
1565,F11000640954,NULL,NULL,1,1,NULL,1,"CORN,FORAGE,FRUITING AND FLOWERING VEGETABLE,MELONS,GRASS",DAIRY,MA,ROWLEY,1969,42.7202,70.8993,,1,314
1584,F31000213871,1,1,1,1,NULL,NULL,,NULL,MA,BELLINGHAM,2019,42.0775,71.4736,,NULL,23
1608,F21000854752,1,1,1,1,1,NULL,WHEAT,NULL,MA,FRANKLIN,2038,42.0862,71.411,,NULL,NULL
1635,F30000570883,1,1,1,1,1,NULL,"CORN,SOYBEAN,WHEAT",NULL,MA,MEDFIELD,2052,42.1847,71.3048,,1,12
1658,F00000823721,NULL,NULL,1,1,NULL,NULL,"CORN,FORAGE,GRASS",NULL,MA,STOUGHTON,2072,42.1194,71.1021,,NULL,261
1688,F00000707201,NULL,NULL,1,1,NULL,NULL,WHEAT,NULL,MA,BOSTON,2109,42.363,71.0545,,NULL,NULL
1701,F31000740012,NULL,NULL,1,1,NULL,NULL,ORGANIC FARMERS,NULL,MA,BOSTON,2114,42.3621,71.068,,NULL,NULL
1720,F90000305505,1,1,1,1,1,NULL,"SOYBEAN,OATS",NULL,MA,BOSTON,2118,42.338,71.0718,,NULL,15
1733,F11000932224,1,1,1,1,1,NULL,BARLEY,NULL,MA,ROXBURY,2119,42.3237,71.0855,,NULL,NULL
1753,F11000571834,1,NULL,1,1,NULL,NULL,RICE,NULL,MA,DORCHESTER,2121,42.3078,71.0835,,NULL,NULL
1761,F21000148419,1,NULL,1,1,NULL,NULL,WHEAT,NULL,MA,DORCHESTER,2122,42.296,71.0538,,NULL,NULL
1788,F21000478840,1,1,1,1,1,NULL,WHEAT,NULL,MA,MATTAPAN,2126,42.274,71.094,,NULL,NULL
1801,F00000454411,1,NULL,1,1,NULL,NULL,OATS,NULL,MA,MATTAPAN,2126,42.274,71.094,,NULL,NULL
1822,F11000108949,1,1,1,1,1,NULL,,NULL,GA,DIXIE,31629,30.7481,83.6762,,1,NULL
1836,F11000945242,1,NULL,1,1,1,NULL,SOYBEAN,NULL,MA,HYDE PARK,2136,42.2548,71.1282,,NULL,NULL
1846,F31000613802,1,1,1,1,1,NULL,ORGANIC FARMERS,NULL,MA,CAMBRIDGE,2138,42.3802,71.1347,,NULL,NULL
1869,F11000497119,1,1,1,1,NULL,NULL,COTTON,NULL,MA,CAMBRIDGE,2139,42.3631,71.1033,,NULL,NULL
1902,F31000750012,NULL,NULL,1,1,NULL,NULL,ORGANIC FARMERS,NULL,MA,CHELSEA,2150,42.3964,71.0327,,NULL,NULL
1926,F11000150893,1,1,1,1,1,NULL,COTTON,NULL,MA,MELROSE,2176,42.456,71.0593,,NULL,NULL
1944,F11000265420,1,1,1,1,NULL,NULL,FORAGE,NULL,MA,BROOKLINE,2446,42.3435,71.1227,,NULL,373
1974,F01000241477,NULL,NULL,1,1,NULL,NULL,BERRIES,NULL,MA,CARVER,2330,41.8765,70.7616,,1,NULL
1992,F01000409890,NULL,NULL,1,1,NULL,NULL,BERRIES,NULL,MA,CARVER,2330,41.8765,70.7616,,NULL,65
2046,F21000283564,1,1,1,1,1,NULL,BERRIES,NULL,MA,HANSON,2341,42.0563,70.8728,,1,9
2056,F90000555021,1,1,1,1,1,NULL,BERRIES,NULL,FL,HOBE SOUND,33455,27.0537,80.1623,,1,65
2074,F00000908721,NULL,NULL,1,1,NULL,NULL,"BERRIES,APPLE",NULL,MA,WEST WAREHAM,2576,41.7789,70.7655,,1,NULL
2088,F00000112511,1,1,1,1,NULL,NULL,BERRIES,NULL,MA,LAKEVILLE,2347,41.8333,70.9656,,1,14
2118,F20000185598,1,1,1,1,NULL,NULL,"CORN,SOYBEAN,BARLEY",NULL,MA,PLYMOUTH,2360,41.879,70.6307,,1,NULL
2130,F11000751638,1,1,1,1,NULL,NULL,WHEAT,NULL,MA,PLYMOUTH,2360,41.879,70.6307,,1,NULL
2145,F21000712231,1,1,1,1,1,NULL,WHEAT,NULL,MA,KINGSTON,2364,41.9862,70.748,,1,NULL
2159,F00000158601,1,1,1,1,NULL,NULL,BERRIES,NULL,MA,SOUTH CARVER,2366,41.8429,70.7469,,NULL,23
2175,F01000723881,1,NULL,1,1,NULL,NULL,"FORAGE,TREE FRUIT",NULL,MA,PLYMPTON,2367,41.963,70.81,,1,9
2195,F80000822820,1,NULL,1,1,NULL,NULL,"GRASS,BARLEY",NULL,MA,LEXINGTON,2420,42.4571,71.2166,,NULL,58
2208,F60000067728,1,1,1,1,NULL,NULL,,NULL,MA,BROOKLINE,2445,42.3293,71.1312,,NULL,4
2223,F31000073702,1,1,1,1,1,NULL,ORGANIC FARMERS,NULL,MA,ARLINGTON,2476,42.4139,71.1769,,NULL,NULL
2253,F01000742580,1,NULL,1,1,NULL,NULL,SOYBEAN,NULL,MA,BROOKLINE,2446,42.3455,71.226392,,NULL,NULL
2272,F31000710802,1,NULL,1,1,NULL,NULL,ORGANIC FARMERS,NULL,MA,CAMBRIDGE,2138,42.3802,71.1347,,NULL,NULL
2292,F11000792162,1,1,1,1,NULL,NULL,WHEAT,NULL,MA,WELLESLEY,2481,42.3105,71.2777,,NULL,82
2315,F30000657613,1,1,1,1,NULL,NULL,WHEAT,NULL,MA,WESTON,2493,42.359,71.3,,NULL,NULL
2331,F00000108290,1,1,1,1,NULL,NULL,WHEAT,NULL,MA,CHILMARK,2535,41.3536,70.7417,,1,NULL
2345,F00000619621,NULL,NULL,1,1,NULL,NULL,BERRIES,NULL,MA,EAST WAREHAM,2538,41.778,70.6491,,NULL,NULL
2353,F21000354530,1,NULL,1,1,NULL,1,,"GOATS,SHEEP",MA,EDGARTOWN,2539,41.3788,70.5416,,NULL,NULL
